Player,Clusters,R.Slope,BB.Slope,H.Slope,R.R^2,BB.R^2,H.R^2
Rougned Odor,1,0.544697492524,0.171609730849,0.82141131815,0.991569829144,0.949901625665,0.994165373024
Giovanny Urshela,2,0.211240842491,0.116666666667,0.566735347985,0.956402915238,0.849333333333,0.990281422695
Kevan Smith,1,0.248200386811,0.125732345865,0.908382470871,0.953784898353,0.91079780877,0.994804971171
Dominic Smith,1,0.420783225409,0.293740363861,0.807277212458,0.972032602419,0.956995185742,0.984489988312
Matt Joyce,6,0.609097136008,0.537249026071,0.831105783638,0.985859622488,0.99039556206,0.99307583571
J.T. Realmuto,0,0.488454221425,0.269666090836,1.0233014804,0.990701761159,0.950453688256,0.995126774844
Christian Vazquez,1,0.450550401979,0.192479901051,0.906357452072,0.967827253545,0.980277710989,0.98990800575
A.J. Pollock,0,0.633486520655,0.298160043735,0.959860935525,0.992155786544,0.970650157868,0.988327803897
Albert Pujols,1,0.378334844912,0.254522038817,0.963402865953,0.993479651126,0.991750768215,0.996884020319
Jabari Blash,1,0.449152542373,0.454237288136,0.623200889136,0.97196562869,0.981288919203,0.982019625426
Robbie Grossman,6,0.538207212183,0.588787185355,0.82765722402,0.988899554919,0.989398272495,0.996775254473
Sean Rodriguez,3,0.312826376977,0.275814751286,0.410405946255,0.948002407626,0.963910982905,0.964305534289
Nick Ahmed,1,0.433397839058,0.191904531527,0.846557006934,0.982385217792,0.929816302022,0.985634102981
Brandon Moss,1,0.372340752701,0.332760542806,0.673559374159,0.986434064048,0.977605539714,0.994879464651
Josh Reddick,0,0.645669517305,0.325403202663,1.16090277742,0.977732270068,0.982945052551,0.996649751674
Matt Chapman,1,0.490449603291,0.388585701692,0.853742496117,0.989224620325,0.982480384572,0.994906746369
Dee Gordon,0,0.735721506583,0.178895924683,1.26487078188,0.988464641589,0.985197843153,0.996412067422
Marcus Semien,6,0.633144420559,0.421125659566,1.08862614813,0.995817055763,0.982382864909,0.993594035782
Nick Williams,0,0.594647696477,0.271386630533,1.1275971093,0.984729970053,0.944108306892,0.99600077775
Eugenio Suarez,6,0.545221349433,0.575872042484,0.86004330578,0.98439806817,0.988197032423,0.99367905491
Mike Trout,6,0.858787792876,0.901350721938,1.10261031571,0.994404602684,0.992801668192,0.993522404882
Miguel Montero,3,0.291551606288,0.323704716336,0.488762816131,0.966957918102,0.970243972142,0.959180938692
Leonys Martin,3,0.347132284921,0.142460684551,0.567645698427,0.965698225654,0.947077322418,0.947361359303
Tim Beckham,0,0.49428939459,0.27720767139,1.14144124803,0.968950960464,0.982825604349,0.994028678791
Peter Bourjos,3,0.295287569573,0.102139764997,0.457142857143,0.977815673416,0.966588120791,0.990512374417
Melky Cabrera,0,0.522997938178,0.227331049722,1.23275093028,0.991884629334,0.976141973348,0.996109784715
