Chaz Roe | ATL | 9866
Tim Adleman | CIN | 10968
Onelki Garcia | KC | 13674
Parker Bridwell | LAA | 11502
Roberto Osuna | TOR | 13764
Dylan Covey | CHW | 14825
Scott Oberg | COL | 13911
Jeremy Guthrie | WSH | 2072
Matt Belisle | MIN | 1837
Tony Watson | LAD | 3132
Rafael Montero | NYM | 12760
Adam Warren | NYY | 9029
Emilio Pagan | SEA | 14771
Brandon Morrow | LAD | 9346
Zack Greinke | ARZ | 1943
Chase Anderson | MIL | 6895
Dustin McGowan | MIA | 8600
Lance Lynn | STL | 2520
Phil Hughes | MIN | 7450
Joe Blanton | WSH | 4849
Justin Wilson | DET | 4301
Drew Pomeranz | BOS | 11426
Jeff Hoffman | COL | 17432
Paul Sewald | NYM | 13892
Jeff Ferrell | DET | 11506
Jandel Gustave | HOU | 14665
Daniel Coulombe | OAK | 13293
Luis Santos | TOR | 15006
Nate Jones | CHW | 4696
Jack Flaherty | STL | 17479
Dan Straily | MIA | 9460
Aaron Blair | ATL | 14934
Aaron Wilkerson | MIL | 16904
Jhan Marinez | MIL | 5830
Sam Moll | OAK | 14874
Ronald Herrera | NYY | 15688
Ubaldo Jimenez | BAL | 3374
Steve Cishek | SEA | 6483
Jacob Turner | WSH | 10185
Drew Rucinski | MIN | 12499
Jason Wheeler | MIN | 13128
Tanner Scheppers | TEX | 10267
Matt Dermody | TOR | 14844
Ian Krol | ATL | 10066
Jonathan Broxton | STL | 4759
Leonel Campos | TOR | 12277
Thyago Vieira | SEA | 14510
Drew Steckenrider | MIA | 18806
Alex Wimmers | MIN | 11394
Jeff Samardzija | SF | 3254
Masahiro Tanaka | NYY | 15764
Miguel Montero | CHC | 3364
Amir Garrett | CIN | 14375
Tony Barnette | TEX | 3555
Daniel Stumpf | DET | 13780
Dan Runzler | PIT | 4080
Jimmy Nelson | MIL | 10547
Peter Moylan | KC | 4891
Derek Holland | CHW | 4141
Nick Goody | CLE | 13685
Henderson Alvarez | PHI | 5669
Robert Gsellman | NYM | 13696
Justin Nicolino | MIA | 11754
Tyler Skaggs | LAA | 10190
Dominic Leone | TOR | 13763
Frankie Montas | OAK | 14309
Felix Pena | CHC | 13403
Rob Scahill | MIL | 9286
Jerad Eickhoff | PHI | 12664
Jumbo Diaz | TB | 3397
Edgar Santana | PIT | 17355
Bryan Shaw | CLE | 8110
Michael Lorenzen | CIN | 14843
Zach Eflin | PHI | 13774
Antonio Bastardo | PIT | 8844
Nik Turley | MIN | 5530
Domingo German | NYY | 17149
John Curtiss | MIN | 16128
Chris Hatcher | OAK | 3299
Blake Parker | LAA | 5224
Ryan Tepera | TOR | 10291
Adam Kolarek | TB | 10843
Buddy Baumann | SD | 9309
Ariel Miranda | SEA | 17526
Sean Doolittle | WSH | 1581
Josh Smoker | NYM | 10285
Scott Feldman | CIN | 6283
Shane Greene | DET | 10756
Jose Ruiz | SD | 14552
Roenis Elias | BOS | 12673
Julio Urias | LAD | 14765
Matt Shoemaker | LAA | 4776
Matt Garza | MIL | 3340
Jarlin Garcia | MIA | 18282
Justin Haley | MIN | 13572
Jake Arrieta | CHC | 4153
Jesse Hahn | OAK | 13287
Ben Taylor | BOS | 18114
Kyle Crockett | CLE | 15033
Joe Smith | TOR | 3281
Javy Guerra | MIA | 7407
Michael Wacha | STL | 14078
Francisco Rodriguez | DET | 1642
Chris Tillman | BAL | 5279
Brad Peacock | HOU | 5401
Jake Diekman | TEX | 5003
Carlos Carrasco | CLE | 6632
Brad Goldberg | CHW | 14776
Trevor Williams | PIT | 16977
Hyun-Jin Ryu | LAD | 14444
Rubby de la Rosa | ARZ | 3862
Robbie Ross Jr. | BOS | 6819
Myles Jaye | DET | 11769
Steven Okert | SF | 13580
Brian Flynn | KC | 12027
Joely Rodriguez | PHI | 11487
Jordan Jankowski | HOU | 13313
Danny Barnes | TOR | 11388
Alex Meyer | LAA | 12833
Jeremy Jeffress | MIL | 9490
Giovanny Gallegos | NYY | 14986
Danny Farquhar | CHW | 8501
Chris Volstad | CHW | 9901
Travis Wood | SD | 9884
Matt Andriese | TB | 12022
Corey Kluber | CLE | 2429
Wei-Chung Wang | MIL | 14382
Tony Zych | SEA | 12876
Hector Santiago | MIN | 4026
Josh Smith | OAK | 10946
Josh Edgin | NYM | 10796
Robbie Ray | ARZ | 11486
Blake Wood | LAA | 1345
Danny Duffy | KC | 3542
Chase Bradford | NYM | 12452
Josh Lindblom | PIT | 7882
Rich Hill | LAD | 4806
Edward Mujica | DET | 3970
Blaine Boyer | BOS | 2237
Tommy Milone | MIL | 7608
Diego Moreno | TB | 6238
Jaime Garcia | ATL | 8137
Erick Aybar | SD | 4082
Kevin Quackenbush | SD | 12360
Jharel Cotton | OAK | 13654
Chad Bell | DET | 10297
Garrett Richards | LAA | 9784
Dillon Maples | CHC | 14672
J.J. Hoover | ARZ | 9037
Reyes Moronta | SF | 14966
Jace Fry | CHW | 16159
Chris O'Grady | MIA | 13818
Johnny Cueto | SF | 6893
Collin McHugh | HOU | 7531
Shane Carle | COL | 15258
Antonio Senzatela | COL | 15488
Brad Ziegler | MIA | 7293
Zach Duke | STL | 3840
Zac Rosscup | CHC | 9419
Jake Thompson | PHI | 14371
William Cuevas | DET | 13331
Jairo Labourt | DET | 14996
Jorge de la Rosa | ARZ | 2047
Michael Brady | OAK | 8461
Jose Valdez | SD | 14470
Jimmy Yacabonis | BAL | 15157
Jordan Zimmermann | DET | 4505
T.J. McFarland | ARZ | 3237
Kyle Kendrick | BOS | 6230
Mike Montgomery | CHC | 4869
T.J. House | TOR | 9121
Mike Mayers | STL | 15451
Jose Leclerc | TEX | 14524
Dovydas Neverauskas | PIT | 11604
Blake Treinen | WSH | 12572
Patrick Corbin | ARZ | 9323
Tim Melville | SD | 9149
Jose Torres | SD | 14957
Juan Minaya | CHW | 10341
Justin Grimm | CHC | 11720
Tyler Lyons | STL | 11334
Sean Newcomb | ATL | 16943
Grant Dayton | LAD | 11203
Derek Law | SF | 13133
Christian Bethancourt | SD | 10028
Mark Leiter | PHI | 15551
Hunter Wood | TB | 15091
John Lackey | CHC | 1507
Josh Ravin | LAD | 2951
Trevor Hildenberger | MIN | 17002
Adam Ottavino | COL | 1247
Rob Whalen | SEA | 14165
Joe Jimenez | DET | 15761
Cam Bedrosian | LAA | 13360
Anthony Banda | ARZ | 14706
