Clusters,R.Slope,BB.Slope,H.Slope,R.R^2,BB.R^2,H.R^2
0,0.537917795845,0.286098313078,1.05859484384,0.988336873684,0.980400575454,0.994742125521
1,0.403232606758,0.278594596181,0.802123836236,0.983735139453,0.972007123884,0.991378095399
2,0.239321466141,0.152557693727,0.585327895689,0.957517816033,0.828939630963,0.984446845345
3,0.287187275553,0.231069928637,0.507107613738,0.960507235381,0.949639308204,0.972882459402
4,0.203779196921,0.0100953547371,0.294269967632,0.920734316054,0.336984609779,0.897597430403
5,0.196310139828,0.193698908906,0.510812606771,0.861699409398,0.959002416648,0.931569584746
6,0.609097136008,0.537249026071,0.999949210956,0.990470105557,0.989398272495,0.994981466272
